local_time_s,sid,cell,x_mm,y_mm,z_mm,target_status,sensor_ts_ms
1771897938.397,5,6,-153.20,-1515.90,1347.90,5,122868
1771897938.397,5,7,216.30,-1426.50,1364.70,5,122868
1771897938.397,5,8,-756.10,-1021.20,1096.50,5,122868
1771897938.397,5,9,-481.10,-1073.10,1090.10,5,122868
1771897938.397,5,10,-147.80,-1489.10,958.50,5,122868
1771897938.397,5,11,175.40,-1264.80,1016.80,5,122868
1771897938.397,5,12,-653.00,-742.40,949.20,5,122868
1771897938.397,5,13,-449.90,-804.70,934.30,5,122868
1771897938.397,5,14,-237.40,-794.70,940.80,5,122868
1771897938.397,5,15,-25.80,-757.90,938.70,5,122868
1771897938.397,6,0,-2061.70,-264.20,1800.00,5,122852
1771897938.397,6,1,-2338.60,-823.60,1874.70,255,122852
1771897938.397,6,2,-2715.60,-1749.30,2052.20,255,122852
1771897938.397,6,3,-816.00,-508.00,1558.80,255,122852
1771897938.397,6,4,-2142.60,-245.50,1356.60,5,122852
1771897938.397,6,5,-2594.80,-916.50,1310.30,255,122852
1771897938.397,6,6,-2430.00,-1552.50,1302.90,5,122852
1771897938.397,6,7,-2099.10,-2187.00,1325.80,255,122852
1771897938.397,6,8,-1683.40,-160.40,1027.50,5,122852
1771897938.397,6,9,-1663.80,-520.80,988.10,5,122852
1771897938.397,6,10,-3275.30,-2227.70,276.20,255,122852
1771897938.397,6,11,-2099.30,-2269.90,564.70,255,122852
1771897938.397,6,12,-1164.60,-83.90,947.60,5,122852
1771897938.397,6,13,-1303.40,-366.20,805.20,5,122852
1771897938.397,6,14,-1974.70,-1237.30,153.00,255,122852
1771897938.397,6,15,-1533.70,-1578.10,224.10,255,122852
1771897938.398,7,0,-1194.20,577.30,822.70,5,122887
1771897938.398,7,1,-1010.30,776.30,803.00,5,122887
1771897938.398,7,2,-861.30,1131.60,653.50,255,122887
1771897938.398,7,3,-636.50,2302.70,-1.70,255,122887
1771897938.398,7,4,-853.90,349.10,1246.90,255,122887
1771897938.398,7,5,-1907.30,1944.30,648.20,10,122887
1771897938.398,7,6,-728.50,783.40,1153.00,255,122887
1771897938.398,7,7,-656.30,2056.40,795.70,255,122887
1771897938.398,7,8,-4006.00,2796.90,1271.30,255,122887
1771897938.398,7,9,-946.30,714.00,1373.10,255,122887
1771897938.398,7,10,-744.50,808.70,1373.90,255,122887
